PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Taman Jati Flat Kulim (Block A B C D),Sale,135000.0,3,1,539,Janice Lim
Taman Jati Flat Kulim (Block A B C D),Sale,145000.0,3,1,592,Ruswahida .
Taman Jati Flat Kulim (Block A B C D),Sale,125000.0,Studio,Studio,550,Zanna Hassan
Taman Jati Flat Kulim (Block A B C D),Sale,145000.0,3,1,600,Zanna Hassan
Taman Jati Flat Kulim (Block A B C D),Sale,110000.0,3,1,600,Zanna Hassan
Taman Jati Flat Kulim (Block A B C D),Sale,140000.0,3,1,592,Lily Ong
Taman Jati Flat Kulim (Block A B C D),Sale,305000.0,3,1,1400,Nor Idawaty Roslan
The Laguna Langkawi,Sale,730000.0,2,2,1128,Nadiah Hanim Mohamad Rosni
The Laguna Langkawi,Sale,650000.0,2,2,1010,Francis Ngooi
The Laguna Langkawi,Sale,1750000.0,3,3,2482,Nadiah Hanim Mohamad Rosni
The Laguna Langkawi,Sale,1500000.0,3,3,2160,Nadiah Hanim Mohamad Rosni
The Laguna Langkawi,Sale,730000.0,2,2,1128,Francis Ngooi
The Laguna Langkawi,Sale,715000.0,2,3,1010,Nadiah Hanim Mohamad Rosni
The Laguna Langkawi,Sale,650000.0,2,2,1010,Nadiah Hanim Mohamad Rosni
The Laguna Langkawi,Sale,990000.0,3,3,2014,Nadiah Hanim Mohamad Rosni
The Laguna Langkawi,Sale,1385000.0,3,3,2020,Nadiah Hanim Mohamad Rosni
The Laguna Langkawi,Rent,3600.0,2,2,1010,Nadiah Hanim Mohamad Rosni
The Laguna Langkawi,Rent,6000.0,3,3,2020,Nadiah Hanim Mohamad Rosni
The Laguna Langkawi,Rent,6000.0,3,3,2482,Nadiah Hanim Mohamad Rosni
The Laguna Langkawi,Rent,8500.0,3,4,3036,Nadiah Hanim Mohamad Rosni
The Laguna Langkawi,Rent,3600.0,2,2,1090,IsmaiLand .
Tropicana Cenang,Sale,975000.0,2,2,771,Francis Ngooi
Tropicana Cenang,Sale,457000.0,Studio,Studio,380,Lim Jin Hong
Tropicana Cenang,Sale,975000.0,2,1,771,Larry Wong
Tropicana Cenang,Sale,1800000.0,4,3,1310,AHMAD SYUKRI
Tropicana Cenang,Sale,457000.0,Studio,Studio,380,Larry Wong
Tropicana Cenang,Sale,1231000.0,3,2,986,Larry Wong
Tropicana Cenang,Sale,1733000.0,4,3,1310,Larry Wong
Tropicana Cenang,Sale,1800000.0,4,3,1310,AHMAD SYUKRI
Tropicana Cenang,Sale,600000.0,Studio,Studio,463,Larry Wong
Tropicana Cenang,Sale,457000.0,1,1,380,Abdul Rashid Chik
